alloy_name,elastic_modulus,source,data_type,formula,reference_id
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,100.0,MPEA Nano-indentation (calculated),calculated,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,74
Hf1 Mo0.5 Nb1 Ti1 V0.5,126.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo0.5 Nb1 Ti1 V0.5,75
Hf1 Mo0.5 Nb1 Ti1 V0.5,126.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo0.5 Nb1 Ti1 V0.5,75
Hf1 Mo0.5 Nb1 Ti1 V0.5,126.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo0.5 Nb1 Ti1 V0.5,75
Hf0.787 Nb0.142 Ta0.142 Ti1 Zr0.787,92.0,MPEA Nano-indentation (calculated),calculated,Hf0.787 Nb0.142 Ta0.142 Ti1 Zr0.787,76
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,79
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,79
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,80
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,80
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,81
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,81
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,81
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,82
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,83
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,84
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,85
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,85
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,85
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,85
Al0.2 Mo1 Ta1 Ti1 V1,183.0,MPEA Nano-indentation (calculated),calculated,Al0.2 Mo1 Ta1 Ti1 V1,86
Al0.6 Mo1 Ta1 Ti1 V1,173.0,MPEA Nano-indentation (calculated),calculated,Al0.6 Mo1 Ta1 Ti1 V1,86
Al1 Mo1 Ta1 Ti1 V1,165.0,MPEA Nano-indentation (calculated),calculated,Al1 Mo1 Ta1 Ti1 V1,86
Mo1 Ta1 Ti1 V1,189.0,MPEA Nano-indentation (calculated),calculated,Mo1 Ta1 Ti1 V1,86
Hf1 Nb1 Ta1 Zr1,105.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Zr1,87
Hf1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Ta1 Ti1 Zr1,88
Mo1 Nb1 Ta1 Ti0.25 W1,242.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti0.25 W1,89
Mo1 Nb1 Ta1 Ti0.5 W1,234.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti0.5 W1,89
Mo1 Nb1 Ta1 Ti0.75 W1,228.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti0.75 W1,89
Mo1 Nb1 Ta1 Ti1 W1,222.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 W1,89
Mo1 Nb1 Ta1 W1,250.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 W1,89
Mo1 Nb1 Ta1 Ti1 V1,171.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 V1,90
Mo1 Nb1 Ta1 Ti1 V1 W1,209.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 V1 W1,91
Mo1 Nb1 Ta1 Ti1 V1 W1,209.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 V1 W1,91
Mo1 Nb1 Ta1 Ti1 V1 W1,209.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 V1 W1,91
Mo1 Nb1 Ta1 Ti1 V1 W1,209.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 V1 W1,91
Mo1 Nb1 Ta1 Ti1 V1 W1,209.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 V1 W1,91
Mo1 Nb1 Ta1 Ti1 W1,222.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 W1,91
Mo1 Nb1 Ta1 Ti1 W1,222.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 W1,91
Mo1 Nb1 Ta1 Ti1 W1,222.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 W1,91
Mo1 Nb1 Ta1 Ti1 W1,222.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 W1,91
Mo1 Nb1 Ta1 Ti1 W1,222.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 W1,91
Mo1 Nb1 Ta1 V1 W1,229.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 V1 W1,94
Nb1 Ta1 Ti1 V1,134.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ta1 Ti1 V1,95
Nb1 Ta1 Ti1 V1 W1,187.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ta1 Ti1 V1 W1,95
Nb1 Ta1 V1 W1,206.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ta1 V1 W1,95
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,134.0,MPEA Nano-indentation (calculated),calculated,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,96
Al1 Cr0.5 Nb1 Ti1 V1,119.0,MPEA Nano-indentation (calculated),calculated,Al1 Cr0.5 Nb1 Ti1 V1,97
Al1 Cr0.5 Nb1 Ti1 V1,119.0,MPEA Nano-indentation (calculated),calculated,Al1 Cr0.5 Nb1 Ti1 V1,97
Al1 Cr0.5 Nb1 Ti1 V1,119.0,MPEA Nano-indentation (calculated),calculated,Al1 Cr0.5 Nb1 Ti1 V1,97
Al1 Cr0.5 Nb1 Ti1 V1,119.0,MPEA Nano-indentation (calculated),calculated,Al1 Cr0.5 Nb1 Ti1 V1,97
Al1 Nb1 Ti1 V1,104.0,MPEA Nano-indentation (calculated),calculated,Al1 Nb1 Ti1 V1,97
Al1 Nb1 Ti1 V1,104.0,MPEA Nano-indentation (calculated),calculated,Al1 Nb1 Ti1 V1,97
Al1 Nb1 Ti1 V1,104.0,MPEA Nano-indentation (calculated),calculated,Al1 Nb1 Ti1 V1,97
Al1 Nb1 Ti1 V1,104.0,MPEA Nano-indentation (calculated),calculated,Al1 Nb1 Ti1 V1,97
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,198
Al0.304 Co1 Cr1 Fe1 Ni1,210.0,MPEA Nano-indentation (calculated),calculated,Al0.304 Co1 Cr1 Fe1 Ni1,183
Al0.304 Co1 Cr1 Fe1 Ni1,210.0,MPEA Nano-indentation (calculated),calculated,Al0.304 Co1 Cr1 Fe1 Ni1,179
Al0.304 Co1 Cr1 Fe1 Ni1,210.0,MPEA Nano-indentation (calculated),calculated,Al0.304 Co1 Cr1 Fe1 Ni1,178
Al0.304 Co1 Cr1 Fe1 Ni1,210.0,MPEA Nano-indentation (calculated),calculated,Al0.304 Co1 Cr1 Fe1 Ni1,178
Al0.304 Co1 Cr1 Fe1 Ni1,210.0,MPEA Nano-indentation (calculated),calculated,Al0.304 Co1 Cr1 Fe1 Ni1,186
Al0.304 Co1 Cr1 Fe1 Ni1,210.0,MPEA Nano-indentation (calculated),calculated,Al0.304 Co1 Cr1 Fe1 Ni1,186
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,234.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,199
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,234.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,199
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,197
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,177
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,177
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,196
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,214.0,MPEA Nano-indentation (calculated),calculated,Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,196
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,202
Al0.304 Co1 Cr1 Fe1 Ni1,210.0,MPEA Nano-indentation (calculated),calculated,Al0.304 Co1 Cr1 Fe1 Ni1,170
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,171
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,209.0,MPEA Nano-indentation (calculated),calculated,Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,194
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,189.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,173
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,189.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,173
Co1 Cr1 Fe1 Ni1 Ti0.2,218.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1 Ti0.2,214
Co1 Cr1 Fe1 Ni1 Ti0.2,218.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1 Ti0.2,214
Al0.1 Co1 Cr1 Fe1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Al0.1 Co1 Cr1 Fe1 Ni1,222
Al0.1 Co1 Cr1 Fe1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Al0.1 Co1 Cr1 Fe1 Ni1,222
Al0.1 Co1 Cr1 Fe1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Al0.1 Co1 Cr1 Fe1 Ni1,222
Al0.1 Co1 Cr1 Fe1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Al0.1 Co1 Cr1 Fe1 Ni1,222
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,236
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,236
Al0.25 Cr0.417 Fe0.417 Ni1,196.0,MPEA Nano-indentation (calculated),calculated,Al0.25 Cr0.417 Fe0.417 Ni1,245
Co1 Cr1 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Ni1,98
Co1 Cr1 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Ni1,98
Co1 Cr1 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Ni1,98
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,115
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,115
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,115
Nb1 Ta1 Ti1 V1,134.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ta1 Ti1 V1,125
Nb1 Ta1 Ti1 V1,134.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ta1 Ti1 V1,125
Nb1 Ta1 Ti1 V1,134.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ta1 Ti1 V1,125
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,135
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,135
Co1 Cr1 Fe1 Ni1,189.0,MPEA Nano-indentation (experimental),experimental,Co1 Cr1 Fe1 Ni1,137
Co1 Cr1 Fe1 Ni1,194.0,MPEA Nano-indentation (experimental),experimental,Co1 Cr1 Fe1 Ni1,137
Co1 Cr1 Fe1 Ni1,204.0,MPEA Nano-indentation (experimental),experimental,Co1 Cr1 Fe1 Ni1,137
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,137
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,137
Co1 Cr1 Fe1 Ni1,221.0,MPEA Nano-indentation (experimental),experimental,Co1 Cr1 Fe1 Ni1,137
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,138
Al0.3 Co1 Cr1 Fe1 Ni1,210.0,MPEA Nano-indentation (calculated),calculated,Al0.3 Co1 Cr1 Fe1 Ni1,138
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,139
Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,221.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,139
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,143
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,144
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,144
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,144
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,144
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,144
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,144
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,144
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,145
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,189.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,149
Al0.3 Co1 Cr1 Fe1 Ni1,210.0,MPEA Nano-indentation (calculated),calculated,Al0.3 Co1 Cr1 Fe1 Ni1,152
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,154
Co0.5 Cr0.5 Fe1 Ni1,219.0,MPEA Nano-indentation (calculated),calculated,Co0.5 Cr0.5 Fe1 Ni1,155
Co0.875 Cr0.625 Fe1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co0.875 Cr0.625 Fe1 Ni1,155
Co1 Cr0.556 Fe0.667 Ni0.667,222.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr0.556 Fe0.667 Ni0.667,155
Hf1 Nb1 Ti1 Zr1,69.7,MPEA Nano-indentation (experimental),experimental,Hf1 Nb1 Ti1 Zr1,156
Co1 Cr1 Fe1 Mn1 Ni1,202.0,MPEA Nano-indentation (experimental),experimental,Co1 Cr1 Fe1 Mn1 Ni1,157
Co1 Cr1 Fe1 Mn1 Ni1,202.2,MPEA Nano-indentation (experimental),experimental,Co1 Cr1 Fe1 Mn1 Ni1,158
Co1 Cr1 Fe1 Ni1,204.0,MPEA Nano-indentation (experimental),experimental,Co1 Cr1 Fe1 Ni1,159
Co1 Fe1 Ni1,174.0,MPEA Nano-indentation (experimental),experimental,Co1 Fe1 Ni1,160
Co1 Cr1 Ni1,222.0,MPEA Nano-indentation (experimental),experimental,Co1 Cr1 Ni1,161
Co1 Cr1 Ni1,229.0,MPEA Nano-indentation (experimental),experimental,Co1 Cr1 Ni1,162
Co1 Cr1 Ni1,234.0,MPEA Nano-indentation (experimental),experimental,Co1 Cr1 Ni1,160
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,164
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,164
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,165
Al1 Cr1 Mo1 Ti1,189.0,MPEA Nano-indentation (calculated),calculated,Al1 Cr1 Mo1 Ti1,165
Al1 Mo1 Nb1 Ti1,151.0,MPEA Nano-indentation (calculated),calculated,Al1 Mo1 Nb1 Ti1,165
Hf1 Mo0.5 Nb1 Ti1 V0.5,126.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo0.5 Nb1 Ti1 V0.5,165
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,137.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,165
Hf1 Mo1 Nb1 Ti1 Zr1,128.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ti1 Zr1,165
Hf1 Mo1 Ta1 Ti1 Zr1,143.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Ta1 Ti1 Zr1,165
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,165
Mo1 Nb1 Ta1 Ti1 V1 W1,209.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 V1 W1,165
Mo1 Nb1 Ta1 Ti1 W1,222.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 W1,165
Mo1 Nb1 Ta1 V1 W1,229.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 V1 W1,165
Mo1 Nb1 Ta1 W1,250.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 W1,165
Mo1 Nb1 Ti1,177.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ti1,165
Nb1 Ta0.3 Ti1 Zr1,101.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ta0.3 Ti1 Zr1,165
Nb1 Ti1 Zr1,94.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ti1 Zr1,165
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,165
Al1 Cr1 Mo1 Ti1,189.0,MPEA Nano-indentation (calculated),calculated,Al1 Cr1 Mo1 Ti1,165
Al1 Mo1 Nb1 Ti1,151.0,MPEA Nano-indentation (calculated),calculated,Al1 Mo1 Nb1 Ti1,165
Hf1 Mo0.5 Nb1 Ti1 V0.5,126.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo0.5 Nb1 Ti1 V0.5,165
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,137.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,165
Hf1 Mo1 Nb1 Ti1 Zr1,128.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ti1 Zr1,165
Hf1 Mo1 Ta1 Ti1 Zr1,143.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Ta1 Ti1 Zr1,165
Hf1 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Hf1 Nb1 Ta1 Ti1 Zr1,165
Mo1 Nb1 Ta1 Ti1 V1 W1,209.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 V1 W1,165
Mo1 Nb1 Ta1 Ti1 W1,222.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 Ti1 W1,165
Mo1 Nb1 Ta1 V1 W1,229.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 V1 W1,165
Mo1 Nb1 Ta1 W1,250.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ta1 W1,165
Mo1 Nb1 Ti1,177.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ti1,165
Nb1 Ta0.3 Ti1 Zr1,101.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ta0.3 Ti1 Zr1,165
Nb1 Ti1 Zr1,94.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ti1 Zr1,165
