,Co,Cr,Fe,Ni,Mn,Al,Cu,Mo,Hardness
0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,300.0
1,0.0,0.24390243902439024,0.24390243902439024,0.4878048780487805,0.0,0.0,0.0,0.024390243902439025,228.0
2,0.0,0.23809523809523808,0.23809523809523808,0.47619047619047616,0.0,0.0,0.0,0.047619047619047616,238.0
3,0.0,0.23255813953488372,0.23255813953488372,0.46511627906976744,0.0,0.0,0.0,0.06976744186046512,239.0
4,0.0,0.22727272727272727,0.22727272727272727,0.45454545454545453,0.0,0.0,0.0,0.09090909090909091,269.0
5,0.0,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111,301.0
6,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,116.0
7,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,472.0
8,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,135.0
9,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,135.0
10,0.2,0.2,0.2,0.0,0.0,0.4,0.0,0.0,509.0
11,0.0,0.19230769230769232,0.19230769230769232,0.38461538461538464,0.0,0.038461538461538464,0.19230769230769232,0.0,161.0
12,0.0,0.18518518518518517,0.18518518518518517,0.37037037037037035,0.0,0.07407407407407407,0.18518518518518517,0.0,200.0
13,0.0,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.0,0.09090909090909091,0.18181818181818182,0.0,235.0
14,0.0,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.0,0.09090909090909091,0.18181818181818182,0.0,218.0
15,0.0,0.17543859649122806,0.17543859649122806,0.3508771929824561,0.0,0.12280701754385964,0.17543859649122806,0.0,275.0
16,0.2,0.2,0.2,0.35,0.0,0.05,0.0,0.0,110.0
17,0.0,0.1724137931034483,0.1724137931034483,0.3448275862068966,0.0,0.13793103448275862,0.1724137931034483,0.0,315.0
18,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,390.0
19,0.2,0.2,0.2,0.325,0.0,0.075,0.0,0.0,131.0
20,0.0,0.16129032258064516,0.16129032258064516,0.3225806451612903,0.0,0.1935483870967742,0.16129032258064516,0.0,520.0
21,0.0,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.0,0.23076923076923078,0.15384615384615385,0.0,550.0
22,0.2,0.2,0.2,0.3,0.0,0.1,0.0,0.0,159.0
23,0.0,0.14705882352941177,0.14705882352941177,0.29411764705882354,0.0,0.2647058823529412,0.14705882352941177,0.0,555.0
24,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.0,565.0
25,0.0,0.1388888888888889,0.1388888888888889,0.2777777777777778,0.0,0.3055555555555556,0.1388888888888889,0.0,575.0
26,0.0,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.0,0.3333333333333333,0.13333333333333333,0.0,596.0
27,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.0,0.05263157894736842,0.0,0.0,161.0
28,0.2,0.2,0.2,0.25,0.0,0.15,0.0,0.0,388.0
29,0.0,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.0,0.23809523809523808,0.0,0.047619047619047616,549.0
30,0.23255813953488372,0.23255813953488372,0.23255813953488372,0.23255813953488372,0.0,0.0,0.0,0.06976744186046512,200.0
31,0.2,0.2,0.2,0.225,0.0,0.175,0.0,0.0,538.0
32,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,496.0
33,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,247.0
34,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.0,0.1111111111111111,605.0
35,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.0,0.1111111111111111,622.0
36,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,310.0
37,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,220.0
38,0.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.0,0.20833333333333334,0.0,0.16666666666666666,854.0
39,0.20618556701030927,0.20618556701030927,0.20618556701030927,0.20618556701030927,0.0,0.0,0.0,0.17525773195876287,420.0
40,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0,419.0
41,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,520.0
42,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,484.0
43,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,395.0
44,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0,342.0
45,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,912.0
46,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,296.0
47,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,133.0
48,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,286.0
49,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,144.0
50,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,209.0
51,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,263.0
52,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,402.0
53,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,432.0
54,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.38461538461538464,0.0,0.0,487.0
55,0.2,0.2,0.2,0.15,0.0,0.25,0.0,0.0,487.0
56,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,506.0
57,0.0,0.23255813953488372,0.3488372093023256,0.11627906976744186,0.23255813953488372,0.06976744186046512,0.0,0.0,297.0
58,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,396.0
59,0.2,0.2,0.2,0.1,0.0,0.3,0.0,0.0,484.0
60,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,904.0
61,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.3076923076923077,0.0,0.07692307692307693,615.0
62,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.25,0.0,0.08333333333333333,665.0
63,0.1,0.2,0.2,0.2,0.0,0.2,0.0,0.1,780.0
64,0.19607843137254902,0.19607843137254902,0.11764705882352941,0.19607843137254902,0.0,0.19607843137254902,0.0,0.09803921568627451,750.0
65,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.0,560.0
66,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.07692307692307693,864.0
67,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.08333333333333333,815.0
68,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091,770.0
69,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091,730.0
70,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091,725.0
71,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091,720.0
72,0.2,0.1,0.2,0.2,0.0,0.2,0.0,0.1,612.0
73,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.0,0.16666666666666666,0.0,0.08333333333333333,640.0
74,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.08333333333333333,711.0
75,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.0,0.16666666666666666,0.0,0.08333333333333333,627.0
76,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.0,0.15384615384615385,0.0,0.07692307692307693,650.0
77,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.07692307692307693,596.0
78,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.0,0.15384615384615385,0.0,0.07692307692307693,404.0
79,0.2,0.2,0.2,0.2,0.0,0.1,0.0,0.1,440.0
80,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091,0.0,458.0
81,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.0,423.0
82,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.0,473.0
83,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.0,418.0
84,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,416.0
85,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,420.0
86,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,350.0
87,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.0,367.0
88,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.0,208.0
89,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.0,208.0
90,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.0,225.0
91,0.18867924528301888,0.18867924528301888,0.18867924528301888,0.18867924528301888,0.18867924528301888,0.05660377358490566,0.0,0.0,125.0
92,0.18,0.35,0.1,0.055,0.075,0.24,0.0,0.0,650.0
93,0.09,0.35,0.1,0.05,0.155,0.255,0.0,0.0,628.0
94,0.06,0.35,0.06,0.05,0.18,0.3,0.0,0.0,605.0
95,0.18,0.22,0.22,0.22,0.05,0.11,0.0,0.0,198.0
96,0.16,0.185,0.165,0.135,0.05,0.305,0.0,0.0,505.0
